,id,update,n_updates
300,1603995131,[],0
301,501612249,"['UPDATE #15\nPinned\nThe update you have been waiting for!\nJenni KowalCreator\nJanuary 29, 2021\nHello, Friends! \n\nToday is a BIG day ... because...\nThe Self Care Adventure Cards are being shipped to you!\n\n\n\n\n\n\n\n\n\n\n\n\n46\nRead more', 'UPDATE #16Backers only\nA quick update on ways to continue your self care journey with Jenni!\nJenni KowalCreator\nFebruary 9, 2021\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n15', 'UPDATE #14\nSurvey Update + Reminder!\nJenni KowalCreator\nJanuary 11, 2021\nHello friends,\nHappy Monday! \n\nI am so excited to get these cards in your hands and I just have one final reminder about the surveys. Thank you for taking the time to answer a few questions in the survey to help me in future creation of self care products :) We are looking good at 86% completed surveys! \n\n\n\n\n12\nRead more', 'UPDATE #13Backers only\nSurveys have been sent!\nJenni KowalCreator\nDecember 22, 2020\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n28', 'UPDATE #12Backers only\nSurveys coming next week, and the Self Care Adventure Cards unboxing video!\nJenni KowalCreator\nDecember 14, 2020\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n5', ""UPDATE #11\nA quick update !\nJenni KowalCreator\nNovember 23, 2020\nHello Friends!\n\nI just wanted to reach out and give a quick update - the cards have successfully been sent off to production earlier this month after many magnifying-glass-level inspections to every aspect of the cards, box, woodblock, bookmarks, and card cloth. It's going to be great!  \n\n\n\n\n211\nRead more"", ""UPDATE #10\nA peek inside of our first sample!\nJenni KowalCreator\nOctober 26, 2020\nHello friends!\nI am popping back in to say hello & I hope you had a restful weekend!\nThe Unboxing\nLast week I was able to do an official unboxing of Sample #1! This sample was sent to production before we met our stretch goals for the larger box, so that's why it looks a bit smaller! \n\n413\nRead more"", 'UPDATE #9\nSurveys are coming soon!\nJenni KowalCreator\nOctober 2, 2020\nHey, friends! I hope you are doing well.\n\nIt\'s been a week since the campaign has ended and I\'ve sent off the files for production - including 10 additional cards to the deck! The ""self care kit"" as I am calling it now is coming along smoothly and I\'m feeling pretty jazzed! \n\n\n\n\n\n\n\n\n\n\n\n\n27\nRead more', 'UPDATE #8\nWOOHOO!!! Celebrating a fully funded & amazing campaign!\nJenni KowalCreator\nSeptember 24, 2020\nWow, wow, wow!! We did it!! \nI am so grateful for each and every one of you for making this campaign a success. Last night we were able to hit the 12K stretch goal to close out the campaign - which adds 10 new self care cards to each deck!! \n410\nRead more']",16
302,1460030167,"['UPDATE #5Backers only\nBackers Only\nMarissa TurnerCreator\nMay 5, 2014\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post', 'UPDATE #4Backers only\nCover For Journey So Far and Expansion Goals\nMarissa TurnerCreator\nApril 21, 2014\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post', 'UPDATE #3\nFirst 1000 Backers\nMarissa TurnerCreator\nApril 2, 2014\nFirst 1000 people to #pledge $1 to https://www.kickstarter.com/projects/1691234573/photography-across-the-united-states … Get all rewards up to $30 level! #crowdfunding #kickstarter #SurpriseSurprise\nRead more', 'UPDATE #2\nCover For Journey So Far and The Summer 2014!\nMarissa TurnerCreator\nApril 2, 2014\nThe covers for both books will be released April 10 and Extension goals will be released April 4!\nRead more', 'UPDATE #1Backers only\nNew Extension Goals!\nMarissa TurnerCreator\nMarch 12, 2014\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post']",5
303,1577461720,"['UPDATE #2\nSELVA DE MAR IS NOT DEAD\nDave BianchiCreator\nAugust 17, 2013\nHI Backers\nWe know time is running, and people are impatience\nthe album is nearly  there just some  final details, mastering and design....\nso we think we will deliver the album to you end of Sept.\nRead more', 'UPDATE #1\nseptember is near\nDave BianchiCreator\nJuly 12, 2013\ndear backers..\nWe wanted to inform you that selva de mar´s new album is getting closer\nwe are now mixing the album, and planing to deliver it for september\nwe are very sorry for our silence and delay, time flies and there more than 9 people involved in this album, some of them are living abroad\nRead more']",2
304,2134946261,"[""UPDATE #1\nIssues of promotion and health\nShikibara DredaCreator\nJune 21, 2018\nJust posting an update to this project. I had intended to do more with the promotion of it, but due to a negative turn in health and getting ill the past couple of weeks, I've been slow to do much with it. I was planning on creating a final draft of the first two chapters of the book to post for free, allowing potential backers to get the feel for the story I want to tell, but I've fallen behind on that and other promotion plans.\nDue to this, I don't see the project lifting off well this round, and may try a take two after this one is finished. I know it's probably in bad taste, but I admit, this was poor planning on my part and I should have had this done before the creation of the project. My excitement got the better of me and health issues rubbed it in.\n1\nRead more""]",1
305,2096155258,"[""UPDATE #8\nOn this day last year I was flying into Mexico City! Wow and It's almost a wrap, with just one more to go!! Thank you ever so dearly for your patience and nurturing support. I love you so much!!! Stay tuned...\nDesiree ParrCreator\nMarch 4, 2019\n3\nRead more"", ""UPDATE #7\nMy beautiful comprades\nDesiree ParrCreator\nMay 24, 2018\n  Hello my beautiful compadres.  I wish for this message to reach you in joy and happiness.  Many of you have already received your paintings.  I sent out all of the watercolor corazones and the acrylic medicine corazones.  May you enjoy the energy of the painting.  \n  I am currently working on the calavera edition.  I just have two more to complete, then I will send them out next week.  I'm really happy with this experience and how they've all been coming out.  They're all very special to me.  There's plenty of love in each one.   \n2\nRead more"", ""UPDATE #6\nMagical Mexico\nDesiree ParrCreator\nApril 14, 2018\n  Mexico was so magical!  Milo and I had an amazing trek.  I learned so much about Mexico and the varying types of terrain, culture, and food.  Mexico is super romantic, colorful, spiritual, mystical, and magical.  It's a blessing to paint you art full of love, culture, ancient wisdom, and Pachamama vibes.  My soul enjoys spreading the love.\n  The journey continues as I paint what I inherited in Mexico.  Thank you so much for contributing to making this vision a reality.  So now I will share my story with you through your very own Mexican inspired painting...I love you all!\n5\nRead more"", ""UPDATE #5\nViva la Mexico!!\nDesiree ParrCreator\nMarch 3, 2018\n  I arrived in Mexico City this afternoon at 4:00pm Mexico time.  Thank you all so much!! This beautiful journey has begun and I'm already feeling the love and mysterious spirituality of this place.  Flying over Mexico was so beautiful.  All of the buildings are so bright and colorful.  There is art painted everywhere.  Check out this really cool hostel I'm staying at in the photo. There's such good vibes and it's beautiful!\n  Everyone was so helpful with giving us directions to our hostel today.  People on the metro got out of their seats for the mamas with the babies and the ladies with heavy backpacks.  Aww people are so nice.  Thank you all for your support with Painting Tour De Mexico!  Our journey has begun...together.\n4\nRead more"", ""UPDATE #4\nWe're a hop, skip, and a jump....\nDesiree ParrCreator\nFebruary 28, 2018\nHi all of my lovely backers,\n  Thank you ever so much for your contribution to Painting Tour De Mexico!  The campaign is nearing it's end and I'm about to embark on my journey.  I'm just a hop, skip, and a jump away from my goal!  If any of you know of a friend that is interested in groovylicious art please spread the word to them.  I'm so excited to share my experience with you and you can follow me on Instagram as pollywogmae.  Thank you for being part of this journey.  I love you guys!!! Many blessings, Desiree\n2\nRead more"", ""UPDATE #3\nLos Corazones Sagrados\nDesiree ParrCreator\nFebruary 22, 2018\n  I just finished these beautiful sacred hearts.  I'm going to paint similar hearts, but with a Mexican fusion.  I hope you enjoy looking at these and they bring love and peace to your soul.  I'm so thankful for your support!!! Love you guys!! Blessings, Pollywog Mae (Desiree)\nLos Corazones Sagrados\nRead more"", ""UPDATE #2\nThe Enlightened Cow\nDesiree ParrCreator\nFebruary 14, 2018\nHi there, another cow has joined 'The Enlightened Cow' painting.  She's pretty groovy.\n'The Enlightened Cow' 4ftx5ft acrylic on canvas\n 1\nRead more"", ""UPDATE #1\nMexican Landscape Paintings 16x20\nDesiree ParrCreator\nFebruary 12, 2018\nThe first five 16x20 paintings of Mexico's unique landscapes, will be sold at $100.  These paintings are usually $150.  They are very fine detailed with bright psychedelic type colors.  A lot of hard work, love, and creativity goes into each painting.  They are each completely unique and always original!\n1\nRead more""]",8
306,1603706387,[],0
307,273404154,[],0
308,595945133,"['UPDATE #2\nthank u\nAndre Bamboo WattsCreator\nMay 22, 2019\nWe wanna thank all ppl who have contributed so far. We are working very hard to complete this album quickly while delivering a dope new sound that everyone to vibe to. We will inform all contributors of the release date along with the link of ur free download of the album. Thank u again\n1\nRead more', 'UPDATE #1\nBe apart of a father and son tryna build their dream\nAndre Bamboo WattsCreator\nMay 4, 2019\nWWe apappreciateur helpWe appreciate\nRead more']",2
309,1391360022,[],0
