,id,update,n_updates
50,1310037208,"['UPDATE #2\nWe did it! Thank you!\nAnne Marie RuffCreator\nMay 25, 2016\nThanks to your generosity and support we met our goal on Sunday! The final files for the book went to the printer on Monday. We even experienced a little magic, as backers we didn’t know before found us on Kickstarter and supported us in a big way. Hooray for you…hooray for us…together we are doing something awesome.\nWith much gratitude, Anne Marie and the Dorris Place Writers\n1\nRead more', 'UPDATE #1\nWe have a title...\nAnne Marie RuffCreator\nMay 5, 2016\nWe have brainstormed a title and decided: Mingling Magic from Roots to Seeds.\nHere is the new crop of what I call sapling writers...\n1\nRead more']",2
51,1974534412,"[""UPDATE #5\nThat's a Wrap, Folks!\nmzbatCollaborator\nOctober 2, 2018\nHi Friends!\nWe hope you've all enjoyed your badges. This will be the last update posted on this project. We want to make sure everyone who requested shipping received their badges. If not, please reach out ASAP so we can provide tracking information. We enjoyed this project and we're looking forward to sharing another badge adventure with you soon.\n1\nRead more"", 'UPDATE #4\nAssembly Instructions for Lock Badge\nDE:AD:10:C5Creator\nAugust 18, 2018\nYou will be interested if you have one of the lock kits: \nhttps://github.com/DEAD10C5/dead10c5_2018/wiki\nNo one has been able to solve the challenge yet! \nRead more', ""UPDATE #3\n2nd Badge Pickup is NOW at Caesar's Palace until 11am\nmzbatCollaborator\nAugust 11, 2018\nThe @DEAD10C5 crew is at Caesar's with badge packages for Kickstarter backers RIGHT NOW until 11am. Couch on 2nd level (at top of 2nd set of escalators) near the Emperor elevators. Look for @p0lr_ and @TheDevilsVoice (big guys with beards). Thanks for your support!\n2\nRead more"", ""UPDATE #2\n1st Badge Pickup is TONIGHT at Caesar's Palace at 10pm\nmzbatCollaborator\nAugust 10, 2018\nHello Backers! \n1st badge pickup for Super Backers, Lock Badge Backers, and Bat Badge Backers who did not request/require delivery is TONIGHT, Thursday August 9th at 10pm. Specific location will be announced on our official Twitter account shortly, so keep your eyes on our feed for details. \nRead more"", ""UPDATE #1\nBadges are on their way!\nmzbatCollaborator\nAugust 6, 2018\nHello friends! For those of you who requested shipment (or did not respond to the survey), bat badges were packed and shipped today. For those who were cool with bat badge pickup at DC26, time and place will be sent to backers this Thursday once we're settled in Vegas. For Super Fans, the bat badges have been shipped to Vegas to be bundled with the official DE:AD:L0:C5 badge. Time and place for Super Fan bundle pickup information will be sent to backers once bundles are ready, no later than Thursday night.\n13\nRead more""]",5
52,1056382966,"[""UPDATE #16\nOn Kickstarter\nChristopher IrvingCreator\nOctober 13, 2019\nHi, everyone,\nI hope this finds you well. I'm sure you're wondering why there are no big ol' banner images on this email. The truth is, there's no point in them. I'm writing you today about the recent developments with Kickstarter and their handling of employees who want to unionize.  To put it plainly: I support Kickstarter United and the workers who are trying to organize a union.\nRead more"", 'UPDATE #15Backers only\nBooks are out!\nChristopher IrvingCreator\nOctober 8, 2019\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n2', ""UPDATE #14\nBooks are in!\nChristopher IrvingCreator\nSeptember 30, 2019\nI'm starting the process of signing and packing them for shipping. Expect them to go out next weekend!\nBest, Chris\n1\nRead more"", 'UPDATE #13\nBook is off to press and surveys are out!\nChristopher IrvingCreator\nSeptember 19, 2019\nPlease fill out the surveys in the next week! The books are off to press and, I hope, will be ready for shipping in a couple of weeks. I have a pretty insane October coming up, so the plan is to get these babies out ASAP! :)\n1\nRead more', 'UPDATE #12Backers only\nNow, a preview!\nChristopher IrvingCreator\nSeptember 16, 2019\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n1', ""UPDATE #11\nRough draft is done!\nChristopher IrvingCreator\nAugust 31, 2019\nThere's still more work to do, however: First I need to review it, and then revise it. Afterwards, I'll lay it out in InDesign.\nBlackbird is finally coming along! Since you've all been so patient, I'll provide a PDF preview once revisions are cemented.\nBest!\n1\nRead more"", ""UPDATE #10\nWelcome to the suit-up\nChristopher IrvingCreator\nAugust 9, 2019\nIt's a cliche of the hero story, but one that never gets old.\nBlackbird is about to suit up for the first time. This one has taken longer than my usual pulps: much of my unexpected challenge has been in writing this as a classic pulp hero, but with a modern sensibility and not leaning on too many of the trappings.\nThis is also my first time writing Blackbird in a while. What's coming out, so far, is more thoughtful than I'd envisioned when I launched the campaign.\n13\nRead more"", 'UPDATE #9\nA teaser\nChristopher IrvingCreator\nJuly 20, 2019\nHe has never felt so much power. He tears at the bandages on his face, pulling away their stifling influence, and runs across the hospital room to a tray.\nHis face, contorted in the reflection, is ruined. Half is stiff and lifeless, almost mannequin like, while the other is scarred deeper than even his father’s.\n2\nRead more', 'UPDATE #8\nLooking at another big bad...\nChristopher IrvingCreator\nJuly 14, 2019\nShould he be a gangster or a corrupt politician? Sound off!\n91\nRead more', ""UPDATE #7\nWhat's your favorite old radio show or pulp character?\nChristopher IrvingCreator\nJuly 2, 2019\nLay it on me: Who's your fave!?\nWe're at the origin point of the story, where things are about to go south for our main protagonist which, as we know, is what heroes are made of! I have to move us into a nice, quiet house on Saturday, and I've only asked for one thing from my partner and her awesome, visiting, helping-out mom:\n73\nRead more""]",16
53,1727715906,[],0
54,2327174,[],0
55,1691646135,"['UPDATE #7Backers only\nYour codes have been sent and After Hours is live!\nPetter MalmehedCreator\nDecember 23, 2018\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n12', 'UPDATE #6\nAfter Hours has gone gold!\nPetter MalmehedCreator\nDecember 4, 2018\nAfter Hours has gone gold!\n211\nRead more', ""UPDATE #5\nIt's off to the beta testers!\nPetter MalmehedCreator\nNovember 5, 2018\nSo sorry for the delays and for the lack of updates.\nI haven't had anything new and fun to show off. I've been fixing minor bugs for the last month and some major ones before that. So sorry for the delays, but it's coming out! I haven't forgotten about you!\nIf I hadn't created this Kickstarted and had your support, I would have given up on this out of pure rage a while back. I implemented a new feature in the game, which caused a major software bug that . Caused some major headaches but here we are. I'm satisfied with the game and I've sent it off to a group of beta testers. I'll have to tinker with it some more when I get the bug reports, but it's so so close now. \n36\nRead more"", 'UPDATE #4Backers only\nEvery puzzle is done! Almost there!\nPetter MalmehedCreator\nAugust 24, 2018\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n17', 'UPDATE #3Backers only\n""What the heck is After Hours?"" and other updates regarding 256k\nPetter MalmehedCreator\nJuly 25, 2018\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n23', 'UPDATE #2\nFully funded!\nPetter MalmehedCreator\nJune 8, 2018\nWow! You guys. I’m so happy that over 100 people believe in this project and have funded 145% of the starting goal. Thank you so much!\nThe game is making great progress and is on schedule.\nI’ll post a bigger update soon with some screenshots and more information, I just wanted to say thanks. This is amazing! You are all amazing!\n7\nRead more', ""UPDATE #1\nOver 70% funded!\nPetter MalmehedCreator\nMay 15, 2018\nThank you so much for funding 256k. I have no doubts that we will get the final 27%.\nThe game is moving forward and I really think you will all enjoy the final product. If there's anyone here that want to help with beta testing the game in a few months, I would be very grateful. It will however spoil the game and ruin the game experience, so please think about it carefully. \n24\nRead more""]",7
56,1120197995,"[""UPDATE #23\nFebruary 2021\nXeregha LopezCreator\nFebruary 6, 2021\nJesus Christ I didn't realize how long its been since the last update I am so sorry. Update on Zacharie, I have chosen our new voice talent, Wes Haas, to be the new provider for Zacharie. Please be sure to check out their webpage: https://www.weshaasvo.com/\nSadly between auditions the voice provider for Princess Rosalia, Emily Evans (@thelyricallady)  has dropped out of the project in order to give opportunity for voice actors of color. We are very sad to see her go but I will be honoring her request and looking for WOC to take over the part of Rosalia.\n116\nRead more"", 'UPDATE #22\nAug 2020\nXeregha LopezCreator\nSeptember 1, 2020\nHi guys im just dropping in for a quick update. if you follow me on social media you probably already saw but if you havent I copied what i posted here\n”Hello guys, quick announcement, but going forward Penelope Smith will no longer be providing the voice for Zacharie Pelletier and MWDH will no longer be promoting her work going forward. Many allegations of abusive behaviors have come up regarding her, and the safety and comfort of my audience is my top priority.\n11\nRead more', ""UPDATE #21\nJune 2020\nXeregha LopezCreator\nJune 17, 2020\nHi guys! Another check in for you all, I just finished my associates degree in art last month and I moved out of my family's home to live with my partner so now im able to finally work on my art and MWDH development as my full time job!!\nIll be sending out physical rewards during the upcoming summer months and im very sorry about the delay. If you havent gotten a survey I'll be reaching out to you soon, if you already received the survey and need to change something you should be able to change your address and information but if you have any trouble you can also email me at diamondheartVN@gmail.com with any questions or concerns you have, just let me know your tier level and the name you backed the project under.\n\n211\nRead more"", 'UPDATE #20\nApril 2020 update\nXeregha LopezCreator\nApril 6, 2020\nHello guys! Long time no see! Just a quick check in because i know people ave been wondering where ive been! this semester has been crazy with my own moving plans, commission work, and the virus \nLately ive been working on updating the old code again and moving all the updated music and art. all the music has been 100% completed, writing is going pretty steadily, although last month was a pretty slow one for my co-writer. Ill update again soon with more fun things to show off but keep track of my twitters @diamondheartvn and @pastelpyon and send me an email to diamondheartvn@gmail.com and ill get back to you very quickly!\n210\nRead more', 'UPDATE #19\nUpdate #19 important news\nXeregha LopezCreator\nOctober 20, 2019\nHi guys! sorry for the radio silence! i started another semester of school, ive been trying to find work, and things have been otherwise really busy.\nthe music is almost done! our lovely composer said the last few tracks should be ready by the end of the month! Ive finished some sprites which you might have seen on Patreon. \n317\nRead more', 'UPDATE #18\nUpdate #18\nXeregha LopezCreator\nJuly 4, 2019\nSorry again for the delayed update, finals got in the way of april progress, and i spent may and june working on merchandise and rewards, which speaking of, the charms are FINALLY done!\ni could have sworn i sent out surveys for these tiers but it looks like i forgot, Ill go ahead and start doing that this week\nfor now here is a preview of the charms, they are all 2.5 inches, holographic, double sided, with colored glass beads attatched and fancy gold heart shaped lobster clasps. \n315\nRead more', 'UPDATE #17Backers only\nUpdate 17\nXeregha LopezCreator\nMarch 30, 2019\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n14', 'UPDATE #16Backers only\nUpdate #16\nXeregha LopezCreator\nJanuary 17, 2019\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n217', 'UPDATE #15Backers only\nUpdate #15\nXeregha LopezCreator\nDecember 12, 2018\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n9', 'UPDATE #14Backers only\nUpdate #14\nXeregha LopezCreator\nNovember 5, 2018\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n10']",23
57,570540023,"['UPDATE #9\nAll shipped!!\nLucretia HoaglandCreator\nOctober 28, 2019\nEvery reward has been shipped out as of today! if there are any issues please do not be afraid to contact me 💕\n5\nRead more', 'UPDATE #8\nArriving soon!\nLucretia HoaglandCreator\nOctober 15, 2019\nHey all, ive been working hard to ship out packages and i think about 40 have been sent so far! you guys should start to recieve your rewards soon 💕. i am, however, still waiting on the chandeliers to arrive. ill let you guys know when those packages will be shipped out soon. thanks for waiting\n4\nRead more', 'UPDATE #7\nUpdate good and bad\nLucretia HoaglandCreator\nSeptember 27, 2019\nHey all, i finally have something to share with you. i got news from the chandelier manufacturer that they somehow lost the mold? At any rate, they said they should have the chandeliers to me around mid October.\nIn better news the other pins have shipped! Ill be on vacation during the first 10 days of October but once I come back, ill start getting out everyones packages! Thanks for waiting\n6\nRead more', 'UPDATE #6\nJust got some pics from the factory\nLucretia HoaglandCreator\nSeptember 15, 2019\nJust a quick update! i got some pics from the factory. they still have to finish some extras i ordered but it should be sent to me soon \n27\nRead more', 'UPDATE #5\nWe did it!!\nLucretia HoaglandCreator\nAugust 20, 2019\nSorry it took a minute to get this up but\nTHANK YOU SO MUCH!! This project ended with being 600% funded!\nI will be sending out the backer surveys soon and I cant wait to hear from you all! I also woke up to a surprise this morning. My manu for the chandelier got back to me with a sample!\n4\nRead more', ""UPDATE #4\nChandelier Has Been Added and Lamp is Unlocked!\nLucretia HoaglandCreator\nJuly 27, 2019\nHey guys! With the unlocking of the LAMP pin, I've added the chandelier as it's own reward option (hes expensive to make so he has his own spot hehe). Ive included the 3D mockup from my manufacturer and they will be sending me a sample so I can make sure it's something everyone is happy with <3\nHe will take a bit more time to be made so bear with me. He will be lovely I promise!\n23\nRead more"", ""UPDATE #3\nNew Goal\nLucretia HoaglandCreator\nJuly 24, 2019\nHey all! Ive been working hard on some new goals and I'm ready to present one to you guys. \nThis one is a bit different than the others as it will be made with recessed/3D metal. Shes going to be an expensive girl but the manufacturer is working on a 3D rendering and a final price. I did already pay for the mold fee on this one so she will be getting made!\n\n24\nRead more"", ""UPDATE #2\nWere getting close!!\nLucretia HoaglandCreator\nJuly 24, 2019\nWere getting close to unlocking our 4th goal so I've been hard at work designing 2 new pins. I showed you a drawing of the clock but there is another one that is super special! I'm waiting to hear back from my factory to see if it i even possible to make. Once I'm given the go ahead, I'll let you guys know what it is!\n5\nRead more"", ""UPDATE #1\nThank you so much!!\nLucretia HoaglandCreator\nJuly 22, 2019\nThank you guys so much!! The first goal was funded in 2 hours and by the end of the day, the first stretch goal was hit!! We’re well on our way to hitting the arm chair stretch goal and hopefully the lamp as well!!\nI'm working on a fifth design just in case too.\n25\nRead more""]",9
58,446014821,"[""UPDATE #74\nIt started as a video game, and it's mutated into a...\nMichael MendheimCreator\nSeptember 11, 2020\n\n510\nRead more"", 'UPDATE #73Backers only\nMayhem Bowl Massacre Tournament this Saturday Feb, 2nd 4:00pm PST!!!\nMichael MendheimCreator\nFebruary 2, 2019\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n511', ""UPDATE #72\nSeason's Beatings from The MFL\nMichael MendheimCreator\nDecember 21, 2018\n\n19\nRead more"", 'UPDATE #71\nDynasty Edition is Coming to Stores on October 30!\nMichael MendheimCreator\nOctober 5, 2018\n6841\nRead more', 'UPDATE #70Backers only\nDynasty Beta on Steam!\nMichael MendheimCreator\nJuly 25, 2018\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n614', 'UPDATE #69\nDynasty and New Content\nMichael MendheimCreator\nJune 14, 2018\n1946\nRead more', 'UPDATE #68\nMFL Sync-Up / EGLX\nMichael MendheimCreator\nMarch 8, 2018\nHi Everyone,  \nHere’s a tease on our werewolf and demon game character models:\n714\nRead more', 'UPDATE #67Backers only\nMFL PS4 Europe Key\nMichael MendheimCreator\nFebruary 26, 2018\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n26', 'UPDATE #66Backers only\nKilladelphia Evils and Mayhem Bowl Mode!!!\nMichael MendheimCreator\nFebruary 2, 2018\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n1021', 'UPDATE #65\nMFL RELEASE RECAP\nMichael MendheimCreator\nJanuary 22, 2018\nWe released on Friday and want to thank everyone for spreading the word. Overall the launch went well, but we did have some bumps along the way.  \nPS4 PLAYERS NOT FROM NORTH AMERICA   \n510\nRead more']",74
59,1710937892,"[""UPDATE #29\nStatus of the Stretch Goal Bonus Track\nIris DivineCreator\nNovember 27, 2018\nHi everyone! Kris here!\nI wanted to post a quick update regarding the bonus track that came with our stretch goal being met. The song is VERY close to completion but we've been sidetracked this year with the release of the new album, the touring that we've done, and personal things (I started a brand new career AND I've taken over managing the band as well as booking our tours). I know, excuses excuses. You guys just want the song!\n\n4\nRead more"", 'UPDATE #28\nDigital Download Codes Are Ready!\nIris DivineCreator\nOctober 5, 2017\nHi everyone,\nThe wait is over! Our new album, “The Static And The Noise”, comes out tomorrow! Physical Kickstarter rewards have been mailed out (some of you have already received yours!) and now comes the digital downloads!\nHere’s how to get it:\n\n23\nRead more', ""UPDATE #27\nCDs Are In!!!!\nIris DivineCreator\nSeptember 22, 2017\nHey everyone!\nKris here. The end of the waiting game draws near as CDs were delivered yesterday! Additionally, we're expecting the t-shirts to be shipped to us within the next few days!\nFrom here, we'll be signing the CDs for those that opted to have them signed and then we'll be getting all of the additional physical rewards in order.\n6\nRead more"", ""UPDATE #26\nAlbum Press Release/Video Launch\nIris DivineCreator\nAugust 15, 2017\nFor those who aren't on Facebook or haven't seen what just went live yet, the wait is over!!! More info concerning delivery of your Kickstarter rewards to come!\nThank you guys SO MUCH for your support and patience through this process! :D\nFOR IMMEDIATE RELEASE:\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n36\nRead more"", 'UPDATE #25Backers only\nGathering info. Check email!\nIris DivineCreator\nAugust 6, 2017\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n1', 'UPDATE #24Backers only\nCheck your email!!!\nIris DivineCreator\nJuly 26, 2017\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n12', ""UPDATE #23\nProgress report, and why this is moving sooo slowly...and a few lyric excerpts :)\nIris DivineCreator\nApril 22, 2017\nGreetings, dear Kickstarter backers-\nSo, yeah...this is taking a while.  Several of you have (gently, and we thank you for that!) have started wondering what's going on, and with good reason.  We want to make sure that everyone is up to speed, and we are so sorry about the lengthy delays, so in the spirit of transparency let's break it all down:\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n16\nRead more"", 'UPDATE #22Backers only\nCover Art / New Teaser Clip\nIris DivineCreator\nMarch 5, 2017\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n814', 'UPDATE #21Backers only\nMixing Nears Completion / Rewards Started\nIris DivineCreator\nFebruary 24, 2017\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n48', 'UPDATE #20Backers only\nSong Titles / Rough Track Lengths\nIris DivineCreator\nJanuary 6, 2017\nThis post is for backers only\nIf you’re a backer of this project, please log in to read this post\n36']",29
