,index,faq
0,2000,"[' Are there other designs? Tue, Jul 23 2019 1:35 am EDT Can you do custom designs? We are not able to do 1 off designs but , if you have a particular design you are chasing, then send us a message and we will look into adding it to our inventory. Tue, Jul 23 2019 1:35 am EDT ?  ']"
1,2001,"[' If you raise more than your goal, what will happen with the additional funds? Once basic restoration of Historic Mission Control is complete, we will use any additional funds to improve the visitor experience and for long-term future maintenance of the historic landmark. Fri, Jul 21 2017 12:13 pm EDT Is my pledge tax deductible? Space Center Houston is a project of the 501(c)(3) nonprofit Manned Space Flight Education Foundation. Our tax ID number is 76-0217152. The total amount of your contribution less the fair market value of the goods and services provided by Space Center Houston is tax-deductible. Fri, Jul 21 2017 12:13 pm EDT Do rewards include travel and accommodations? We are not responsible for travel or costs incurred by the backer to participate in geographically-based experiences, including but not limited to rewards such as tours, events and lectures at a specific time and place. Fri, Jul 21 2017 12:13 pm EDT What if I want more than one reward package? Kickstarter only allows one pledge per email address (some people pledge multiple times using different email addresses). We may release additional bundles of rewards later in the campaign. Fri, Jul 21 2017 12:13 pm EDT What if I don’t want some or all of the rewards? To change your reward status, visit the project page and click the “Manage your pledge"" button that appears next to your pledge amount and select ""Change your pledge"" on the following page. From here, you’ll be able to adjust your reward tier. If you don\'t want to receive a reward, select ""Make a pledge without a reward"" and enter your new pledge amount. Fri, Jul 21 2017 12:13 pm EDT When will I receive my rewards? We will begin fulfillment of most rewards beginning November 30, 2017. For international backers, please allow an additional 4-6 weeks for processing.  Note: Space Center Houston is not responsible for international customs fees. Fri, Jul 21 2017 12:13 pm EDT When was the last time the room was in use? The room was last used in 1995 to operate space shuttle missions. Fri, Jul 21 2017 12:13 pm EDT Is the room being restored to a specific day in the Apollo-era? The room is being restored to accurately portray what Historic Mission Control looked like on July 20, 1969 at the very moment that the crew successfully landed a man on the moon. Fri, Jul 21 2017 12:13 pm EDT ?  ']"
2,2002,"[' How can I get a full stereo setup? ~ ¿Cómo puedo conseguir un setup estéreo completo? Sat, Jun 13 2020 4:40 pm EDT Is it hybrid but... no tubes? ~ Es híbrido pero... ¿Sin válvulas? Sat, Jun 13 2020 4:40 pm EDT Can I get saturation from Zero? ~ ¿Puedo obtener saturación de Zero? Sat, Jun 13 2020 4:40 pm EDT How much will it retail for when the funding is over? ~ ¿Cuánto costará cuando acabe el Kickstarter? Sat, Jun 13 2020 4:40 pm EDT What does the reverb compare to? ~ ¿A qué suena la reverb? Sat, Jun 13 2020 4:40 pm EDT Why is there a standby switch? ~ ¿Por qué hay un interruptor de Standby? Sun, Jun 14 2020 3:12 am EDT Can I use only the emulated outputs without risking the power amp? ~ Puedo usar sólo las salidas emuladas sin riesgo para la etapa de potencia? Sun, Jun 14 2020 3:08 am EDT Will the cabinets you use in the video be available? ~ Estarán disponibles las pantallas que usáis en el vídeo? Sun, Jun 14 2020 3:06 am EDT If you had to compare Zero to a tube amp, which one would it be? ~ Si tuvieses que comparar Zero con un ampli de válvulas, cuál sería? Wed, Jun 17 2020 1:59 pm EDT ?  ']"
3,2003,['   ']
4,2004,['   ']
5,2005,['   ']
6,2006,['   ']
7,2007,['   ']
8,2008,['   ']
9,2009,['   ']
10,2010,['   ']
11,2011,['   ']
12,2012,['   ']
13,2013,['   ']
14,2014,"[' How long is the KS campaign? The Kickstarter campaign will be only 11 days long, having started on November 19th and ending on December 1st. Fri, Nov 20 2020 1:58 am EST How big are the magnetic Track Cubes? Each track cubes is 64mm on each side.  This gives them a large presence on the table and makes them easy to handle. Fri, Nov 20 2020 8:13 pm EST What are the cubes made of? The cubes are molded high impact ABS plastic with metal plates on the inside to make them magnetic. This gives them a good feel and weight. Fri, Nov 20 2020 8:13 pm EST Can I upgrade my pledge during the pledge manager? Yes, you can upgrade your pledge during the pledge manager. Fri, Nov 20 2020 9:50 pm EST Is this project EU-Friendly? Yes, Reality Shift is EU-Friendly, Canada-Friendly, and USA-Friendly. We plan on shipping in May 2021 and hope that worldwide shipping will have returned to normal for all countries by then. Mon, Nov 30 2020 11:29 am EST Can players with color blindness play Reality Shift? Yes, color blind players can play Reality Shift. The colors used for the cube faces, cards, and Light Bikes were all chosen specifically because the majority of color blind players can distinguish them. Mon, Nov 30 2020 11:31 am EST ?  ']"
15,2015,['   ']
16,2016,['   ']
17,2017,['   ']
18,2018,['   ']
19,2019,['   ']
20,2020,['   ']
21,2021,['   ']
22,2022,['   ']
23,2023,['   ']
24,2024,['   ']
25,2025,['   ']
26,2026,['   ']
27,2027,"[' ""I backed the previous campaign for Triumviratus. What\'s new?"" The book is the same. If you got the book last time, you don\'t need to get it again. What IS different this time around, however, is that Triumviratus will have a brand new cover (pending) designed by brilliant UK artist Ahmed Raafat! You can grab that piece of artwork by backing at the $3 ""Bystander"" tier. Sun, May 3 2020 6:38 am EDT ""Money back guarantee?"" Yes indeed. I\'m absolutely serious about you walking away from this campaign happy with what you\'ve gotten. If you\'re not happy and feel I\'ve wronged you in our transactions, get in touch and if I can\'t solve the problem, I\'ll issue you a full refund. It\'s that simple. Sun, May 3 2020 6:39 am EDT ""I\'m just waiting until payday. I really want to back this campaign!"" That\'s not a question, but you make the cut for sheer enthusiasm. I just want to take this moment to clear up a common misconception among people who may not have used Kickstarter before, because it differs from many common pre-order systems. The main thing I want to clarify is that Kickstarter won\'t take your money straight away when you pledge. Money will only be taken from your card if the campaign reaches its funding target; and will take it on the day the campaign ends (June 13). For absolute clarity: you won\'t need that money in your account now - you need it there on June 13. So if there\'s a particular reward you\'ve got your eye on, it\'s safer to claim it immediately, or risk missing out entirely. Sun, May 3 2020 6:39 am EDT ""Should I wait until this hits the stores instead?"" I don\'t think so. And here\'s why. This version of Triumviratus is longer than the one that will be available from stores. This version includes a nine-page epilogue. Also, this is the only way to snag yourself the other great gear on offer, such as reams of behind-the-scenes content, and a two hour audio commentary for the book! It\'s also cheaper here, and you get the book much more quickly. Sun, May 3 2020 6:39 am EDT ""Hey, I run this service that can help to boost your project\'s visibility/ranking..."" I\'m going to stop you there. Sun, May 3 2020 6:40 am EDT ""I\'d really like to get a copy of the limited edition hardcover! Can we make it happen?"" If you\'re in Australia, you\'re in luck! There\'s a reward tier called ""Brotherhood"" - back at that level, and the book can be yours. If you\'re anywhere else in the world, I\'ve got some bad news: my post office isn\'t accepting overseas parcels at the moment, due to uncertainties caused by the global pandemic and collapse of distribution chains. If that situation eases, I\'ll certainly make the book more widely available. Fri, May 8 2020 8:24 pm EDT ?  ']"
28,2028,['   ']
29,2029,['   ']
30,2030,['   ']
31,2031,['   ']
32,2032,"["" Puis-je voir la description du projet en français? Voici la version française : Design, création et mise en marché d'une marque de vêtements et d'accessoires de style rock/punk/métal/alternatif qui se démarque. Trashcan.rocks est une boutique en ligne de vêtements et accessoires de style rock, punk, trash, gothic et métal. Nous offrons une vaste gamme d'articles pour hommes et femmes tels que chandails, t-shirts, camisoles, souliers, bottes, bijoux et accessoires que les rockers de ce monde adorent! Nous sommes maintenant prêts à élaborer notre propre marque, notre propre brand afin d'offrir à nos clients des produits uniques, spécialement dessinés pour tous les trashers de ce monde en quête d'un look original et bad ass à son maximum. Grâce à ce projet de socio-financement, nous pourrons débuter notre gamme en créant les premiers items suivants: Pour parvenir à un brand original, de qualité et unique, nous devrons procéder et investir dans les étapes suivantes: À notre avis, trop peu de boutiques offrent exclusivement des produits de style trash/rock, surtout au Canada. Les adeptes de look trash doivent magasiner dans de nombreux endroits différents afin de trouver tout ce qui leur plaît à des prix compétitifs. Nous comptons remédier à la situation en proposant, au niveau international, une boutique en ligne offrant une vaste gamme d'articles pour hommes et femmes qui propose des prix abordables, une livraison rapide et gratuite partout à travers le monde, des produits génériques et de marque (l'objet de ce projet) et un style 100% rock pour nos fans. Nous visons l'objectif de devenir LA boutique en ligne préférée des rockers de la planète, rien de moins! Mon, Nov 13 2017 1:25 pm EST Puis-je voir la traduction française des récompenses? Voici la version française expliquant les récompenses: Mon, Nov 13 2017 1:25 pm EST Puis-je voir la traduction française des risques et obstacles possibles du projet? Voici la version française concernant les risques liés au projet : Une préparation et une organisation efficace et exemplaire saura réduire au maximum les risques et obstacles associés à notre projet. Toutefois, nous restons conscients que chaque projet d'entreprise comprend son lot de mésaventures et de défis. En voici quelques-un pour lesquels nous sommes prêts et déterminés à surmonter. Retard dans la production des designs et dessins: nous comptons sur 3 artistes professionnels pour nous aider dans la création des articles. Ces derniers se sont formellement engagés à respecter les délais établis et à nous informer de tout retard ou problème potentiel. Nous avons également un artiste ''de secours'' qui serait prêt à prendre la relève en cas de besoin. Difficulté à trouver les manufacturiers adéquats: nous savons que la recherche de manufacturiers ne sera pas de tout repos. Nous voulons des produits de qualité, répondant à nos critères, pouvant être produits et livrés rapidement, sans surprises ni problème, offrant une disponibilité, un service à la clientèle et un service après vente exemplaires. Nous ne compterons pas les heures à investir afin de dénicher la perle rare et tiendrons nos contributeurs informés de chaque entente établie et problématique rencontrée. Retard dans la réception des items commandés: nous avons prévu une période tampon d'environ une semaine à chaque étape de notre projet. Nous comptons sur les manufacturiers que nous aurons trouvé pour respecter les délais convenus, par contre nous sommes prêts et avons envisagé un retard possible. Encore une fois, nos contributeurs seront informés à chaque étape du processus. Nous désirons faire preuve de transparence et d'honnêteté envers les gens qui nous soutiennent. Budget : des dépassements de coûts peuvent arriver à chaque étape de notre projet. Nous croyons cependant avoir établi des projections réalistes, basées sur des recherches diligentes et bien préparées. Nous avons plusieurs plans de contingences établis afin de résoudre tout dépassement de coûts qui pourrait survenir. Ultimement, même si le projet échoue (ce qui ne risque pas d'arriver mais cela reste toujours une possibilité) nous sommes déjà en mesure de respecter nos promesses envers nos contributeurs puisque notre boutique est déjà en ligne et bien établie. Les gens ayant déboursé afin de soutenir notre projet de branding pourront quand même recevoir leurs articles, peu importe que la collection unique soit une réussite ou non. Mon, Nov 13 2017 1:25 pm EST Puis-je avoir la traduction française de votre profil personnel? Voici la version française de la section ''About Caroline'' : Native de la région de l'Outaouais, au Québec, Caroline est travailleuse autonome depuis plus de 10 ans dans le domaine de la rédaction, de la révision et de la correction de textes, en plus d’être répartitrice médicale d’urgence, auteure publiée, propriétaire d’une entreprise web d’échanges de propriétés et d’une boutique de vêtements et accessoires en ligne. Passionnée de musique rock, punk et métal, d'art contemporain et de mode alternative, elle a longtemps mis ces intérêts de côté pour se concentrer sur une carrière ''plus sérieuse''. Arrivée à la mi-trentaine, elle désire maintenant plus que tout exploiter sa vraie identité, sa nature profonde et sa personnalité quelque peu rebelle afin de mettre à profit ses passions pour la musique et la mode trash dans une boutique en ligne et à pignon sur rue où son expérience entrepreneuriale lui permettra d'assurer le succès de sa marque et de mettre en marché le brand auquel elle compte donner vie. ''Toute ma vie j'ai développé des entreprises et j'ai travaillé dans des cadres formels, guindés, où l'image corporative prend toute la place. J'ai porté des tailleurs accompagnés du typique attaché-case et je devais constamment projeter une image de femme d'affaires sérieuse, professionnelle et conforme aux stéréotypes qui viennent avec ce genre d'environnement. J'ai travaillé dans le domaine immobilier, où l'argent mène le monde, où les gens se comparent de par le niveau luxe de leur voiture et de par le nombre de gros clients que contient leur carnet d’adresses. Toute ma vie j'ai donc mis en veilleuse ce que j'étais vraiment, j'ai dissimulé ma vraie personnalité afin de plaire aux patrons, aux clients et aux partenaires d'affaires. Il me fallait jouer de mon talent de caméléon et afficher mon plus beau sourire durant des 5 à 7 et cocktails interminables où tous et chacun tente de s'approprier de nouveaux contrats et de pousser leur gamme de services à qui veut bien l'entendre.'' ''Il m'a fallu une petite crise de la trentaine pour enfin comprendre que ce monde stérile, froid et rigide ne me convenait plus et qu'il ne m'avait en fait jamais convenu. J'ai choisi de me choisir et d'en faire mon gagne-pain. J'ai choisi de combiner mon goût pour l'entrepreneuriat, pour la musique rock, pour l'art et la mode trash et d'en créer une carrière. Avec Trashcan.rocks, ma boutique en ligne, je peux recommencer à porter mes jeans déchirés, mes bracelets à rivets, mes manteaux de cuir et mon vernis à ongle noir sans crainte d'être jugée ou regardée de haut. Je peux maintenant travailler dans une ambiance rock, rester qui je suis, pour desservir des gens comme moi, qui n'ont pas peur d’afficher leur marginalité, d’exploiter leur personnalité rebelle et anti-conformiste au jour le jour. J’ai préféré être jugée pour qui je suis plutôt qu’être acceptée pour ce que je ne suis pas. Je désire, grâce à Trashcan.rocks, offrir aux gens des vêtements, chaussures et accessoires à mon image, qui sauront plaire aux rockers de ce monde. C’est la carrière, le projet et le mode de vie que j’aurais dû choisir depuis longtemps. Mais il parfois difficile d’user de son fond anarchiste pour assumer ses désirs profonds lorsque ces derniers entrent en conflit avec l’establishment et le cadre social attendu et la pression qu’il engendre. Maintenant que c’est fait, je sais que Trashcan.rocks sera un succès puisque 100% de mon cœur, de mon expérience, de mes connaissances et de mon temps y sont investis. Une entreprise menée par la passion ne peut qu’offrir un résultat intéressant et positif, c'est ma philosophie!'' Mon, Nov 13 2017 1:25 pm EST ?  ""]"
33,2033,['   ']
34,2034,['   ']
35,2035,['   ']
36,2036,['   ']
37,2037,['   ']
38,2038,['   ']
39,2039,['   ']
40,2040,['   ']
41,2041,['   ']
42,2042,['   ']
43,2043,['   ']
44,2044,['   ']
45,2045,['   ']
46,2046,['   ']
47,2047,"["" How do I choose my original drawing reward? Every pledge in the ORIGINAL DRAWING tier and over gets one of my original signed ink sketches. If you pledge at this level, you can jump straight on the campaign comments section and dibs the drawing you're after. There's a full gallery of my sketches on this Pinterest board: https://pin.it/5976BCx I'll be adding one or 2 more to this board as the campaign goes on. Otherwise, I'll send out a survey when the campaign ends and give you the option of choosing which character you'd like. At that stage I can't guarantee you'll get the exact sketch you're after, but I can send you your favourite character! Tue, May 19 2020 5:11 pm EDT ?  ""]"
48,2048,['   ']
49,2049,['   ']
50,2050,"["" Will the physical PC copy contain the game? Tue, Jan 5 2021 1:51 pm EST Any PS Vita version? As much as I like and supported the Vita, which I'll always be grateful for introducing me to console development, Brok is a much more technical demanding game. Before switching to GameMaker Studio 2 (which doesn't have support for Vita export) I attempted to run it on the devkit and it's clear this would have required a lot of performance tweaks - while Brok runs near-perfect on the Switch devkit already. With a release date planned for early 2022 on consoles this is too late for the Vita. Tue, Jan 5 2021 1:51 pm EST Why no physical copies on consoles? Tue, Jan 5 2021 1:51 pm EST What about mobile (iOS, Android)? Demetrios did not sell very well on mobile. This is a difficult market where only free-to-play monetization seems to do well, and adventure games cannot work with it - such change would corrupt the core gameplay. Brok will probably end up on mobile someday, but this is a low priority. Tue, Jan 5 2021 1:51 pm EST Why isn't the prologue available on Mac/Linux? Tue, Jan 5 2021 1:51 pm EST Will you be one of those devs ditching the Steam version for Epic exclusivity? NEVER. The only way my games would come out on the Epic Game Store would be non-exclusive. Tue, Jan 5 2021 1:51 pm EST What happens if you can't deliver one specific version? Tue, Jan 5 2021 1:51 pm EST Will keys be region locked? Steam and GOG keys can be used worldwide. For consoles, it varies. Xbox keys also work worldwide except China. I plan to release on Nintendo Switch in North America, Europe and Japan. For PlayStation, I expect to release in North America and Europe only. (no IARC age rating support yet in Japan) Tue, Jan 5 2021 1:51 pm EST ?  ""]"
51,2051,['   ']
52,2052,['   ']
53,2053,['   ']
54,2054,['   ']
55,2055,['   ']
56,2056,"[' Does this come with electronics? No. This is for the frame only. The frame will fit all mini quad electronics. Suggested parts list available soon for those that want my particular set up! Thu, May 21 2015 2:32 am EDT ?  ']"
57,2057,['   ']
58,2058,['   ']
59,2059,['   ']
60,2060,['   ']
61,2061,['   ']
