,index,faq
0,100,['   ']
1,101,"[' What will be on the Pre-Programmed micor SD card Note: - this questions / answer is only applicable to people planning to use the Tempus Fugit board with Raspberry Pi. It is NOT relevant to anyone planning only to use a Nano The card will have the English language version of the WordClock s/w setup to run automatically on power-up. Additionally the micro SD will include * you will need to edit the autostart batch file to run these automatically from start-up, instructions for this will be included Sat, Mar 12 2016 8:37 am EST ?  ']"
2,102,"[' Where did the perks with the program shootouts go? Well, we are quickly striding toward our opening on March 17th so the programs are being printed and anyone who perked with with us before March 10th will be included. Anyone who chooses a perk from this point forward will have to settle for the amazing COAL MINERS FOREVER wall! Wed, Mar 11 2015 9:21 pm EDT ?  ']"
3,103,['   ']
4,104,['   ']
5,105,['   ']
6,106,['   ']
7,107,['   ']
8,108,['   ']
9,109,['   ']
10,110,['   ']
11,111,['   ']
12,112,['   ']
13,113,['   ']
14,114,['   ']
15,115,['   ']
16,116,['   ']
17,117,['   ']
18,118,['   ']
19,119,"["" Can I pledge for more than 1 necklace? Thu, Jan 10 2019 3:25 am EST Will the Phoenix Necklace be available in both variants? Thu, Jan 10 2019 3:26 am EST Why is the shipping more expensive than your past kickstarters? Unlike my past Kickstarter campaigns, this campaign includes items of apparel such as the tote bags and socks! These are larger items and require larger packaging. The Royal Mail prices are based on the size and weight of packages, so the shipping costs are more expensive for this Kickstarter to compensate for any rewards that include socks or tote bags! If you choose pins only - don't worry! I will automatically upgrade your shipping to signed for / tracked so that you don't feel as though your shipping costs have been wasted Thu, Jan 10 2019 4:24 am EST Can I upgrade to tracked shipping? Thu, Jan 10 2019 4:24 am EST Why should I upgrade my shipping to tracked? Unfortunately, the Royal Mail can only reimburse costs of tracked or signed for mail. If you leave your package as standard, there is no way for me to keep track of where it is if it gets lost or delayed and I can't claim to reimburse your costs for you (or myself if missing items are replaced!) Thu, Jan 10 2019 4:24 am EST When should I expect my rewards? After funding ends on the 23rd of January, all funds are collected within one week. Funds should then be sent to me by the 6th of February. I will not be able to order the pins from my manufacturer until after the 14th so I expect them to arrive to me mid-March.  I then have to check through all pins and package them up so I anticipate sending everything late March but will keep you updated! Socks and tote bags however are produced in the UK so anyone who only chooses a tote or socks as a reward will receive their items sooner! Thu, Jan 10 2019 4:24 am EST ?  ""]"
20,120,['   ']
