,index,faq
0,1500,['   ']
1,1501,['   ']
2,1502,['   ']
3,1503,['   ']
4,1504,['   ']
5,1505,['   ']
6,1506,"[' Will ZPREP be on Android? We plan to release it on Android eventually but with your help this can happen faster if we reach our stretch goal. Fri, Oct 11 2013 12:47 am EDT ?  ']"
7,1507,['   ']
8,1508,['   ']
9,1509,['   ']
10,1510,['   ']
11,1511,"[' Will pins be available after the campaign? Yes. Any left over pins will be available on my web store (www.artofso.com), but they will increase in price. Thu, Jul 23 2020 11:27 am EDT ?  ']"
12,1512,['   ']
13,1513,['   ']
14,1514,['   ']
15,1515,['   ']
16,1516,['   ']
