,index,num_faq
0,500,8
1,501,0
2,502,0
3,503,0
4,504,0
5,505,0
6,506,0
7,507,1
8,508,0
9,509,0
10,510,0
11,511,0
12,512,0
13,513,0
14,514,0
15,515,5
16,516,0
17,517,0
18,518,0
19,519,0
20,520,6
21,521,0
22,522,1
23,523,0
24,524,0
25,525,0
26,526,0
27,527,0
28,528,0
29,529,0
30,530,0
31,531,0
32,532,0
33,533,1
34,534,0
35,535,0
36,536,4
37,537,0
38,538,0
39,539,0
40,540,0
41,541,0
42,542,0
43,543,0
44,544,0
45,545,0
46,546,0
47,547,8
48,548,0
49,549,0
50,550,0
51,551,0
52,552,0
53,553,0
54,554,1
55,555,0
56,556,0
57,557,0
58,558,0
59,559,0
60,560,0
61,561,0
62,562,0
63,563,0
64,564,2
65,565,0
66,566,0
67,567,0
68,568,0
69,569,0
70,570,0
71,571,0
72,572,2
73,573,0
74,574,0
75,575,0
76,576,0
77,577,0
78,578,0
79,579,0
80,580,0
81,581,0
82,582,0
83,583,0
84,584,0
85,585,0
86,586,1
87,587,0
88,588,0
89,589,4
90,590,0
91,591,0
92,592,0
93,593,0
94,594,0
95,595,0
96,596,0
97,597,0
98,598,0
99,599,0
100,600,0
101,601,0
102,602,0
103,603,0
104,604,0
105,605,0
106,606,0
107,607,0
108,608,0
109,609,0
110,610,1
111,611,0
112,612,0
113,613,0
114,614,0
115,615,0
116,616,0
117,617,0
118,618,0
119,619,12
120,620,6
121,621,0
122,622,1
123,623,10
124,624,0
125,625,0
126,626,0
127,627,0
128,628,0
129,629,0
130,630,0
131,631,0
132,632,0
133,633,0
134,634,0
135,635,0
136,636,10
137,637,0
138,638,0
139,639,0
140,640,0
141,641,5
142,642,0
143,643,6
144,644,0
145,645,0
146,646,0
147,647,0
148,648,0
149,649,0
150,650,0
151,651,0
152,652,0
153,653,0
154,654,0
155,655,0
156,656,0
157,657,0
158,658,0
159,659,0
160,660,1
161,661,0
162,662,0
163,663,0
164,664,0
165,665,0
166,666,6
167,667,0
168,668,0
169,669,0
170,670,0
171,671,0
172,672,0
173,673,0
174,674,0
175,675,0
176,676,3
177,677,0
178,678,0
179,679,0
180,680,7
181,681,0
182,682,0
183,683,0
184,684,14
185,685,0
186,686,0
187,687,0
188,688,0
189,689,0
190,690,0
191,691,0
192,692,0
193,693,0
194,694,0
195,695,0
196,696,6
197,697,0
198,698,0
199,699,0
200,700,0
201,701,5
202,702,0
203,703,0
204,704,0
205,705,0
206,706,0
207,707,0
208,708,4
209,709,0
210,710,3
211,711,0
212,712,0
213,713,0
214,714,7
215,715,0
216,716,4
217,717,0
218,718,3
219,719,0
220,720,0
221,721,0
222,722,0
223,723,8
224,724,0
225,725,0
226,726,3
227,727,0
228,728,0
229,729,0
230,730,0
231,731,0
232,732,0
233,733,0
234,734,0
235,735,0
236,736,0
237,737,10
238,738,3
239,739,0
240,740,0
241,741,0
242,742,0
243,743,0
244,744,6
245,745,0
246,746,0
247,747,0
248,748,0
249,749,0
250,750,6
251,751,0
252,752,0
253,753,8
254,754,0
255,755,0
256,756,0
257,757,0
258,758,0
259,759,0
260,760,0
261,761,0
262,762,0
263,763,0
264,764,0
265,765,0
266,766,0
267,767,0
268,768,0
269,769,2
270,770,0
271,771,0
272,772,0
273,773,2
274,774,0
275,775,0
276,776,0
277,777,0
278,778,0
279,779,0
280,780,0
281,781,0
282,782,0
283,783,95
284,784,0
285,785,0
286,786,0
287,787,0
