,index,num_faq
0,1500,0
1,1501,0
2,1502,0
3,1503,0
4,1504,0
5,1505,0
6,1506,1
7,1507,0
8,1508,0
9,1509,0
10,1510,0
11,1511,1
12,1512,0
13,1513,0
14,1514,0
15,1515,0
16,1516,0
17,1517,32
18,1518,0
19,1519,0
20,1520,0
21,1521,0
22,1522,0
23,1523,0
24,1524,0
25,1525,0
26,1526,0
27,1527,0
28,1528,0
29,1529,0
30,1530,0
31,1531,0
32,1532,0
33,1533,0
34,1534,0
35,1535,0
36,1536,0
37,1537,0
38,1538,0
39,1539,0
40,1540,0
41,1541,0
42,1542,0
43,1543,0
44,1544,0
45,1545,0
46,1546,2
47,1547,0
48,1548,0
49,1549,0
50,1550,0
51,1551,0
52,1552,0
53,1553,3
54,1554,0
55,1555,0
56,1556,0
57,1557,0
58,1558,3
59,1559,0
60,1560,0
61,1561,1
62,1562,0
63,1563,0
64,1564,0
65,1565,1
66,1566,0
67,1567,0
68,1568,0
69,1569,0
70,1570,0
71,1571,0
72,1572,0
73,1573,0
74,1574,0
75,1575,0
76,1576,0
77,1577,0
78,1578,0
79,1579,0
80,1580,0
81,1581,0
82,1582,0
83,1583,0
84,1584,0
85,1585,0
86,1586,0
87,1587,0
88,1588,0
89,1589,0
90,1590,0
91,1591,0
92,1592,0
93,1593,0
94,1594,0
95,1595,0
96,1596,0
97,1597,0
98,1598,0
99,1599,0
100,1600,0
101,1601,0
102,1602,0
103,1603,0
104,1604,0
105,1605,0
106,1606,1
107,1607,0
108,1608,0
109,1609,0
110,1610,0
111,1611,0
112,1612,0
113,1613,0
114,1614,0
115,1615,0
116,1616,0
117,1617,0
118,1618,0
119,1619,0
120,1620,0
121,1621,0
122,1622,0
123,1623,0
124,1624,0
125,1625,0
126,1626,0
127,1627,0
128,1628,0
129,1629,0
130,1630,0
131,1631,0
132,1632,0
133,1633,0
134,1634,0
135,1635,0
136,1636,0
137,1637,0
138,1638,0
139,1639,0
140,1640,0
141,1641,0
142,1642,2
143,1643,0
144,1644,0
145,1645,0
146,1646,0
147,1647,3
148,1648,0
149,1649,0
150,1650,0
151,1651,0
