,id,comments,n_comments
0,1662798399,"Only backers can post comments. Log in
No comments yet.",0
1,1316288919,"Only backers can post comments. Log in
No comments yet.",0
2,818890122,"Only backers can post comments. Log in
No comments yet.",0
3,1934517401,"Only backers can post comments. Log in
No comments yet.",0
4,1449353867,"Only backers can post comments. Log in
Paula Limbaugh
over 6 years ago
So sorry your goal wasn't met, but I am glad the book will still be published! So looking forward to reading it!",1
5,2060806280,"Only backers can post comments. Log in
No comments yet.",0
6,359411047,"Only backers can post comments. Log in
finnibun
about 1 month ago
It's been an incredibly challenging year for almost everyone. I love seeing the exciting new things you have to share with us. Take care and hang in there! We're rooting for you!
Lily
about 1 month ago
Any kind of update on this would be appreciated. What is exactly holding up the development? It seems like the parties involved in this project have moved on according to social media. :/
Lily
about 1 month ago
I will add the the developer's official website is also defunct. http://studiochiffon.com/
Aubry K.Creator
about 1 month ago
Hi Lily! Our website is down due to some technical errors, which we're working to get fixed ASAP. Development is being held up for a number of reasons, including some large rewrites being done to our scripts and scenes, but please keep an eye out for an update in the near future!
Haileydolittle
about 2 months ago
Just realized there hasn't been an update since August, wanting to check in and see where things are at hopefully
Aubry K.Creator
about 1 month ago
Hi Hailey! We're moving along with writing and production. Please keep an eye out for a new update, which we should be rolling out relatively soon! Thank you for your patience!
helgraf dragonSuperbacker
2 months ago
Sooo, where does the project stand now? I know it was ""delay into 2021"", but that's still very vague.
Aubry K.Creator
about 1 month ago
SWT is still in production, and we have no intent to stop working on it anytime soon. We're currently in the middle of drafting another update to get out to all of you, so please keep an eye out for that, as it should be coming out relatively soon!
shaleen
3 months ago
hello, will your team have any updates some time before the end of the year by any chance? 👉👈 hope yall are well!
Sven ""DrMcCoy"" HesseSuperbacker
2 months ago
Apparently not :P
Aubry K.Creator
about 1 month ago
Unfortunately, no, but we should have a new update coming out for you all relatively soon! Thank you so much for your patience and continued support as we keep working!
Elle
3 months ago
do y'all have any updates to share? hope everyone is well!
Aubry K.Creator
about 1 month ago
Hey, Elle! We're working on drafting and hopefully publishing an official update pretty soon, so please keep an eye out for that!
Sven ""DrMcCoy"" HesseSuperbacker
7 months ago
What's the status on those art assets? How are you all doing, everyone staying safe and sound? What are your plans going forward?
Aubry K.Creator
7 months ago
Hey there! Sorry for the radio silence, we’re planning an official update at the end of the month to overlap with some asset submission estimates. There have been a couple COVID adjacent issues that have been popping up but we’ve finally gotten some grasp of normalcy this month and hope to update you guys with just a little more time!
Sven ""DrMcCoy"" HesseSuperbacker
7 months ago
Okay, thanks! :)
Allie Georgopoulos
over 1 year ago
When will we be hearing about physical reward fulfillment? An ETA range for that would be nice
Aubry K.Creator
over 1 year ago
Hi Allie! If you mean the merchandise being shipped out, it'd be when the game is closer to release next year. If you mean the backer's survey, that's on us - we've been caught up in publisher negotiations for longer than anticipated, and kickstarter fulfillment duties have been part of the talks. While we'd love to give a more concrete date, we don't want to promise anything until it's set in stone, so all we can say is that we hope to be able to send those out soon. Thank you for asking!
Allie Georgopoulos
over 1 year ago
Yeah you're fine! Just was curious on an ETA for that as well. You guys are killing it! Excited for the final project
LidiaSuperbacker
over 1 year ago
News would be nice, considering the estimated date came and went with no update.
Sven ""DrMcCoy"" HesseSuperbacker
over 1 year ago
Any news? :)
rebecca
over 2 years ago
Congrats on getting all the stretch goals!!! I was seriously looking forward to Everard & Charlotte, they're my favorite of all the love interests; plus, more CGs!! So happy for you & all of the backers 😊
Bow
over 2 years ago
Oh my god, yesss! Congratulations on getting fully funded and reaching stretch goals! (Charlotte lives!!) 8D
Zabrina
over 2 years ago
Congrats on being 100% funded and hitting the fund goals!
Mak
over 2 years ago
Congrats on exceeding the stretch goals!! This is my first time backing a project and I'm so excited for it 💕
Paulina Trinidad
over 2 years ago
Congrats on being funded and reaching your stretch goals! 💕💕
Amelia Witt
over 2 years ago
So happy that this hit it's fund goal!! I can't wait to play for the full thing in the future
Shaina Brewster
over 2 years ago
We're almost to the final stretch goal; I'm so happy and proud of y'all <3 Please share this project with others if you haven't already!
Anny
over 2 years ago
Happy we made it to 34k ^o^ now we can get more CGs!
Josie Smith
over 2 years ago
Yay! Congratulations! This is my first time donated to a kickstarter and I checked back regularly to see how it was doing! It raised a lot in the past 24 hours (I'm super glad because I fell in love with Everard, haha!) I cannot wait to see you make a beautiful game!
Ninette
over 2 years ago
we did it!!! we did it lads and lasses we can date FILF and Soft Fossil Charlotte I'm jumping in joy here having woken up to this. Y'all are amazing, three cheers for all of us and for Studio Chiffon
Ninette
over 2 years ago
sorry i multiclicked in my excitement kajsdhhaga
Ninette
over 2 years ago
we did it!!! we did it lads and lasses we can date FILF and Soft Fossil Charlotte I'm jumping in joy here having woken up to this. Y'all are amazing, three cheers for all of us and for Studio Chiffon
DahliaSuperbacker
over 2 years ago
WOOO!! 33k! :D We made it to the bonus routes! :D
Shaina Brewster
over 2 years ago
I've always browsed Kickstarter, but I've never actually backed any of them because I backed all the ones I liked I would be broke. Yet when I saw this project and played the demo, I had to. The art, music, story, and everything is just so amazing and awesome. I'm so glad I found this, and I'm just so so excited!! I do hope you still do the bonus routes even if $32,000 isn't hit <3 <3
Everyone working on this is wonderful and precious. Thank you so much for working on this game and blessing us with it <3 <3
Shres
over 2 years ago
I just want to say that I tried out the demo, and it was mighty impressive! It's one of the most neatly presented demoes I've seen for a VN. The gap between the stretch goals and the base funding goal looks quite wide right now, but I hope you reach them. :)
Also, I like that you've tried not to be too ambitious with your schedules. No reason to rush this beautiful work of art.
Aubry K.Creator
over 2 years ago
Thank you for the kind words, Shres! We hope we reach them too >:0
And yeah, we wanted to be honest with our capabilities as well as account for the fact that we can't live and breathe this project from morning to night. Best not to rush things unless we absolutely have to. :)
Ashley Nguyen
over 2 years ago
Congrats on fully funding!👏👏👏🎉🎉🎉🎉
Aubry K.Creator
over 2 years ago
Thanks!!! 🎉🎉🎉🎉
Showing 25 of 41 comments
Load more",69
7,15031726,"Only backers can post comments. Log in
PageLessCreator
7 months ago
PageLess just helped Joe save $385.00 on his textbooks. Joe needed a bunch of books and and a bunch of access codes. He was given the package ISBNs and told to buy them. PageLess tore those ISBNs apart and got Joe all the content he needed for class. More importantly, we made sure he didn't buy a lot of extra stuff he didn't need. The cheapest price for Joe's books on the internet was $556.00. PageLess got him down to $171.00. PageLess really does work. With your help, we can get it out into the world!",1
8,1601968864,"Only backers can post comments. Log in
Alexander DruninSuperbacker
11 months ago
Cool initiative! How it's different from https://www.chartco.com/commercial/one-ocean/enviromanager or C-MAP Embark?
Christopher NagyCreator
11 months ago
Hi Alexander, Thanks for that. We have a number of differences from the enviromanager, mainly in the dynamics of the solutions as well as the completeness of a the solution keeping everyone from the users to the regulatory authorities connected. I am not too familiar with C-MAP Embark though...
Christopher NagyCreator
11 months ago
I see you are with Navico. We are currently rolling out a plan to allow integrations with existing voyage planning and navigational platforms. Let me know if this is something Navico would be interested in.",3
9,1162663059,"Only backers can post comments. Log in
No comments yet.",0
