,id,comments,n_comments
700,2091140886,"Only backers can post comments. Log in
AnaTalifi Wall Nazur
about 2 years ago
Good Luck Hector :)",1
701,1853824500,"Only backers can post comments. Log in
Rob ColatuttoCreatorSuperbacker
5 months ago
@MentatYP: I did mark the one used in the campaign as private since it had a couple errors.
The updated video on the installation guide webpage here: https://geodegaming.com/pages/jasper-compatible-dovetail-mount-installation is fully updated for the Cup Holder Mounts
For a side shelf, that webpage above also has very detailed step by step instructions under the video to go over some of the finer details with making sure you get a great alignment on the full length of the longer mounts.
If you have any additional questions, feel free to reach out at support@geodegaming.com
Hope this helps!
MentatYPSuperbacker
5 months ago
Excellent, thanks! Wish me luck--I'm all thumbs.
MentatYPSuperbacker
5 months ago
Got mine in, tried to watch the installation instructional video but it's marked as a private video. Could you make it public again so I don't mess up this install?
Rob ColatuttoCreatorSuperbacker
5 months ago
@Eric E: Thanks Eric. We chose the material we picked to print the mounts in specifically for long term durability and for its load handling capabilities. Happy to hear they made a great first impression!
Eric E
5 months ago
Got mine last week - thank you they look great and appear that they'll be quite durable! Once I get my Jasper in the coming weeks I'll get them installed.
Rob ColatuttoCreatorSuperbacker
6 months ago
@Dan Johnson: Thanks Dan!
I was a little hesitant to say the side shelf can be stored underneath since it just barely fits (if you want access to the storage on both sides of the table, as I’ve shown in the photos) and I’m still a bit worried about the back half of the shelf that hangs low. Watch your knees :) It’s also a bit heavy to be lining up while hanging it under the table.
That said we have put ours under there before, but honestly the side shelf has rarely left our table since adding our new mounts. Most rule books fit on it quite well (except Pendulum).
Dan JohnsonSuperbacker
6 months ago
Received and installed in PA. Got enough for the storage under the table as well and glad to say it holds the side tables underneath as well. Great job!
Rob ColatuttoCreatorSuperbacker
6 months ago
Dropped another 32 orders into the mail today!
Graham Budd
6 months ago
Received and installed here. Installation tool was great and made placement / alignment a breeze. The holders are a little bit looser than the wood ones that shipped on the table but it seems like they should still hold alright. Going to be nice to have cup spots on the ends of the long edges!
Rob ColatuttoCreatorSuperbacker
6 months ago
Really glad to hear the installation was easy! I'm a bit surprised though that the fit feels looser than the stock mounts, as I've made these slightly larger than the stock mounts to give it just a little bit tighter of a fit.
I'd actually had the mounts quite a bit tighter than the stock mounts originally but dialed it back down towards the stock sizing when I moved from a 'for our table only' project to a fits all Jaspers and Duchess' ever constructed KS project. It turns out there is a fair amount of variation in the dovetail sizing all around, multiple iterations of the groove, etc.
Would you mind sharing a photo or two with me on the fit between the stock and the new mounts, at support@geodegaming.com ? Curious also if you tried all your cup holders and if the results are consistent. We have one cup holder on our end that the cuts in the cup holder don't quite line up with the shape of the mount, and its pretty loose all around our table.
Graham Budd
6 months ago
Rob, pictures sent to that email address. As noted in the email the looseness is not concerning, it doesn't feel as though the holders are going to slip off or anything.
RussoncSuperbacker
6 months ago
@Rob, I got your message... Clearly user error on my part.. hehe... (yes I feel a bit dumb...)
installed correctly and yes, fits near perfect! Thanks!!
Rob ColatuttoCreatorSuperbacker
6 months ago
Not to worry! Also good catch finding that, I'll update with a few photos clarifying the way it should sit. Sometimes its really easy to miss an alternate way things could be put together when you've designed it.
Overall though I'm very glad its a good fit! You had me worried that there may be a lot more variation in the wine holders than I'd thought.
Rob ColatuttoCreatorSuperbacker
6 months ago
@Russonc: that’s a lot more than it should be closing off. Most I’ve seen is about 1/8” so far. Thanks for the info, I’ll keep an eye out for a photo
RussoncSuperbacker
6 months ago
Received in NC. the mounts look to fit great (I had one of the early models).
Wine holder ... slightly too big (makes the opening a bit smaller) Really tight on large stemmed glasses; but nice on the thin stemmed ones.
Thanks for doing this, great idea!
Showing 3 of 4 replies
Load previous replies
Rob ColatuttoCreatorSuperbacker
6 months ago
Would you mind sending me a photo over at support@geodegaming.com of the fit of the Riser in the Wine Glass Holder? Its very possible that the first batch of Wine Holders you got with your table were made with a smaller opening, and got revised before any copies we've seen.
That said, the fit is supposed to be a bit tight, not overly so, but tight enough that theres enough resistance that the Riser does not spin freely, but not too much that its hard for you to rotate it to 'lock' in the glass, if desired. Depending how tight the tolerances on the hole in the Wine Glass Holder is, this could result in the opening being made slightly smaller, as you've described. Either way, would love to see a photo of the fit your describing, but glad you've a simple work around that fits your favorite glass.
RussoncSuperbacker
6 months ago
@Rob, I will try to get to it this weekend. It does fit nicely, snug but able to spin. But with the insert flush to one side of the opening, I lose about 3/8"" on the other side (so overall gap is 3/8"" smaller with the insert). I'll likely shave 1/2"" off and it should work as planned. (but I will try to get a picture out to you.).
RussoncSuperbacker
6 months ago
@Rob, I sent a couple pics today. Let me know if you don't get them.
Rob ColatuttoCreatorSuperbacker
6 months ago
@Eric E: no trouble Eric, I’ve got you down for 4 Brown Side Shelf Mounts
Eric E
6 months ago
Hi Rob, just wanted to say I'm excited about getting the mailing address survey. Would you kindly confirm my order with add ons too? Thanks!
Rob ColatuttoCreatorSuperbacker
6 months ago
@Scott: sure no problem. I actually just put yours together this afternoon and it’ll go out this week. I have 8 Brown Cup Holder Mounts down for you.
Scott
6 months ago
Yep and thanks!
Scott
6 months ago
Rob, thanks for all you do. I saw the survey to update my mailing address. Can I confirm my order again? The email didn’t seem to indicate the add ons, only the initial pledge amount?
Dan Sprague
6 months ago
Thank you Rob, I got my shipment yesterday! Time to install them this weekend
Rob ColatuttoCreatorSuperbacker
6 months ago
@David Sandquist: that was quick! Thanks David, I’m really happy to hear everything went smoothly for you.
And thank you so much to all the beta backers who helped to smooth out the installation procedures
David SandquistSuperbacker
6 months ago
Received and installed. They work great! Awesome job design and making!
Rob ColatuttoCreatorSuperbacker
7 months ago
@John Stoneham: Unfortunately I only know one person in town with the Duchess, and it’s a Black model.
I believe the Duchess Brown has a bit of a Red hue to it as well, so my best guess would be the light brown, if you wanted a wood tone.
If anyone in San Diego who backed has a Duchess in Brown, please send me a message and we may be able to sort out a few photos for the other backers.
John Stoneham
7 months ago
Any chance to see a photo of the wood tones on top of Duchess Brown Stain?
Showing 3 of 5 replies
Load previous replies
Rob ColatuttoCreatorSuperbacker
7 months ago
If either of you, or another backer with a Brown Duchess would like, I can send you a color sample set of the three wood-tones, if you'd take and share a few nice photos with me that I can include in an update.
Feld FanSuperbacker
7 months ago
I would!
John Stoneham
7 months ago
Sure, I wouldn't mind.
Eric Soerens
8 months ago
Tonight’s family game night was centered around our sons favorite video game... we played Minecraft UNO and Minecraft: Builders & Biomes.
Looking forward to adding some extra options around the table. Thanks for running this project!
Graham Budd
8 months ago
Sounds fun! We had some rounds of Santorini and Boggle here.
RussoncSuperbacker
8 months ago
I missed the fireworks on this one, but congratulations.
Rob ColatuttoCreatorSuperbacker
8 months ago
So whats the most recent game or use everyone's made of their Jasper or Duchess? Anyone using it as an office space during the work-from-home effort a lot of us are in now?
RussoncSuperbacker
8 months ago
I was going to use my Jasper for at home work, but decided to get a small PC table instead... keeping Jasper free for games. (Latest - For What Remains by DVG)
Graham Budd
8 months ago
We often keep a fresh Mysterium set up under the topper. It's our go-to family game during quarantine and having it set up and ready to go makes it a lot easier to play quickly when the time presents itself.
On top is usually the kiddo's arts and crafts stuff (plus my mini painting items).
Rob ColatuttoCreatorSuperbacker
8 months ago
Thanks everyone! You've been very supportive throughout the campaign and thanks to everyone who messaged with their ideas and suggestions! Looking forward to getting these into your hands as soon as possible.
RussoncSuperbacker
8 months ago
Just over 2 hours to go!
Showing 25 of 65 comments
Load more",102
702,824154033,"Only backers can post comments. Log in
No comments yet.",0
703,650058238,"Only backers can post comments. Log in
No comments yet.",0
704,376546088,"Only backers can post comments. Log in
No comments yet.",0
705,282435533,"Only backers can post comments. Log in
No comments yet.",0
706,1309901766,"Only backers can post comments. Log in
Horizon FilmworksCreator
almost 6 years ago
This comment has been removed by Kickstarter. Learn more about comment guidelines.
Horizon FilmworksCreator
almost 6 years ago
This comment has been removed by Kickstarter. Learn more about comment guidelines.",0
707,1635521392,"Only backers can post comments. Log in
mary
over 5 years ago
Thank u for keeping us informed. Sad news about it not passing maggie
mary
almost 6 years ago
Congratulations!!!! You did it
mary
almost 6 years ago
Congratulations at 82% already and 42 backers!!!! This is just then start of your important campaign. Mary
linda clark
almost 6 years ago
judy frankel's book is a literal handbook for how to become a proactive and informed citizen. her research is extensive and impressive. it is a call to action for those who seek a government that truly reflects the wishes of the people.
mary
almost 6 years ago
Judy's book is a page turner! It is a book of hope and resolution for the middle class. Judy has done the homework for us with in- depth research to bring attention to critical issues facing America. Judy can take complicated material and make it easy to understand written with nonpartisan sentiment. Ms. Frankel also takes us on her compelling personal journey of perseverance to reach a wider audience with crucial information . This book makes me believe there are real solutions! Mary Hatch
Janet Moyer
almost 6 years ago
Wishing you much success with you're book. One person can make a difference! I am so proud of you Judy",6
708,1714910746,"Only backers can post comments. Log in
Stefan Robert Ingvar Olausson
about 2 months ago
När kommer spelet?
Frida MalmgrenCreator
about 2 months ago
Hej Stefan! Jag har just gjort en uppdatering med en längre förklaring, det korta svaret är att vi siktar på maj. Tack för att du väntar :)
Andreas Nordh
4 months ago
Inte hela världen att det inte blir klart till jul. (Uppriktigt sagt hade jag heller inte räknat med att det skulle hinna bli klart tills dess.)
Det digitala quizzet kommer också att fungera ypperligt och dessutom innebär förseningen att jag redan har en julklapp klar till nästa jul och det är inte heller så illa :)
Stort tack för info i god tid!
Kristian Persson
4 months ago
Jag håller med, julleverans är inte det viktiga.
Frida MalmgrenCreator
5 months ago
@Mattias Andersson: ❤️❤️
Frida MalmgrenCreator
5 months ago
@Kristoffer Lager: Ja!!!
Mattias Andersson
5 months ago
Magiskt!
Kristoffer Lager
5 months ago
Bara 5 DaVinci kvar nu till nästa mål
Kristoffer Lager
5 months ago
Jaa, fler kort!
Frida MalmgrenCreator
5 months ago
@Kristoffer Lager: Bra initiativ, nu kör vi!
Kristoffer Lager
5 months ago
Uppgraderade mig nu, heja Marie A!! Nu hoppas jag på 366666 innan kvällens slut
Kristoffer Lager
5 months ago
Eller så kanske det går att hoppas på stretchmålet ändå...
Frida MalmgrenCreator
5 months ago
@JAlmborg: Det är ju helt MAGISKT! Tack ❤️❤️❤️
JAlmborg
5 months ago
Och jag tror tamigtusan att du snart spränger 300K-gränsen också. :)
JAlmborg
5 months ago
250K-gränsen sprängd!
Grattis! :)
Frida MalmgrenCreator
5 months ago
@JAlmborg: Ja, så himla kul! 🙌🏼🤩
JAlmborg
5 months ago
Grattis till att precis ha kommit över 200K-gränsen.
Nu blir det trettio nya kort för Frida att tillverka! :-D
Frida MalmgrenCreator
5 months ago
Vill man köpa till fler spel kommer möjligheter finnas efter att kampanjen avslutas.
Veronica Sjöberg
5 months ago
Hej! Jag valde Da Vinci-pledget men la till extra 299 kr för en HC Andersen också - kan jag lägga till den (HC Andersen) i survey kitet som kommer sen eller blir det knas då?
Frida MalmgrenCreator
6 months ago
Haha, perfekt ju, tack! ❤️
Frida MalmgrenCreator
6 months ago
Ja! Det spelet minns jag från när jag var liten, men visste inte att det hette så! Får jaga efter det på tradera :) Har haft det i bakhuvudet som en förebild för det här spelet. Minns att det var hur kul som helst, och man lärde sig samtidigt om figurerna!
Tack för pepp! 🌺🌺🌺
Henrik Allansson
6 months ago
Vad roligt! Jag letade själv upp det på tradera för några år sedan. :) Här kommer en länk till en pågående budgivning:
https://www.tradera.com/item/181805/420051534/boklek-cilla-ingvar-cillas-boklek-fran-robinson-till-ronja
Stort lycka till med kampanjen!
Henrik Allansson
6 months ago
Vilken rolig idé, det var självklart att backa!
Det påminner lite om ett spel vi spelade när jag var liten: Cillas boklek Från Robinson till Ronja. Det gick ut på att bilda familjer av karaktärer från litterära verk och var hur roligt som helst.
Håller tummarna för att kampanjen når långt över målet!",23
709,362016602,"Only backers can post comments. Log in
Mark Fereday
about 1 month ago
I received completely smashed DVD/BR cases and a damaged corner on the book. All items chucked into a large jiffy bag allowing items to move around, for international delivery...Was amazed the book wasn't more damaged tbh. I will email photos to the email address below.
Zombie OrpheusCreatorSuperbacker
about 1 month ago
Please let us know if there are any issues with your replacement order once it arrives.
Samuel DillonSuperbacker
about 2 months ago
I also have received a damaged copy of the deluxe book - took pics, will send to norita@zombieorpheus. Thanks!
Zombie OrpheusCreatorSuperbacker
2 months ago
Dannie - Please email norita@zombieorpheus.com with pictures of the damage (and the packing if you retained it). We’re taking significant action to hold the fulfillment company responsible for substandard packaging and need every report we can get.
Dannie timbrook
2 months ago
Just got mine in today. It was shipped in an envelope and has some hefty dings from the shipping. I really like the product but I wish it would have been more carefully shipped.
Clinton Levitski
2 months ago
Just got my book today and it looks great I can't wait to really dig into it. Curious though are you going to be putting the PDF up for sale as well?
Zombie OrpheusCreatorSuperbacker
about 2 months ago
Yes, we will have the PDF for sale soon on our ecommerce site. You should already have a PDF in your specific order (you can access your downloads through Backerkit).
Dennis S.
2 months ago
Got mine a couple of days ago. I seemed to have lucked out as mine was shipped in a box as I had a lot of add-ons. Everything arrived safe and sound. Only about 28 pages in and I already have so many questions that I hope are answered, or at least alluded to, later in the book. Such as Portals not connecting to Locked/Lost Worlds vs events as seen in Shadow Menace. I'm kicking myself for not getting the other companion book so I can see what each says about their own views on the Metaverse. Going to have to check out the tabletop game series as well now.
David campbellSuperbacker
2 months ago
I just got my deluxe hardcover; it's amazing looking and I can't wait ti9 dig into it. However; it was just shipped in an oversized padded envelope which got beat to hell and ripped in three places. Three of the four corners are smashed like it was dropped from a few feet in the air,
Love you guys, love what you do, and happy to support you. For a $100 deluxe collectible hardcover, it really should have been shipped in a box to protect it better. I'd have gladly paid more for shipping.
Not looking for a refund or swap; just wanted to provide some feedback. Hopefully next time there are better shipping choices available.
Zombie OrpheusCreatorSuperbacker
2 months ago
Hi David,
We apologize for the state that your world bible arrived in. The packaging that our fulfillment partner used was not up to professional standards and we are actively looking for a new fulfillment partner for future shipping and warehousing. Please know that we do want to make this right for you and are happy to ship you out a new copy, free of charge, so that you do not have to make due with a damaged copy. Please email me at norita@zombieorpheus.com if you would like to pursue.
-Norita
James Bonine II
2 months ago
Just got the book in today. It looks great!
Gryyphyn
2 months ago
I just got mine out of the mailbox this morning and it's gorgeous! Thanks to all of the Fartherall team!
Shane ZuspanSuperbacker
3 months ago
Anyone get their deluxe hardcover yet? Mine's been in that ""waiting for pick up"" for a couple weeks so hopeful it's coming any day now so looking for some good news from others!
Devin Kennedy
3 months ago
In the same spot. Label created but hasn't actually shipped out yet looks like.
Charles Penn
3 months ago
I'm in the same boat...the shipping company that was supposed to send it to USPS seems to have put it...somewhere in my state...but USPS doesn't seem to have it yet.
Zombie OrpheusCreatorSuperbacker
3 months ago
Hi all, unfortunately USPS has been inundated with packages and some are not getting the proper intermediate scans. We've consulted with our fulfillment partner over the issue and it's been something experienced by many of their clients. Typically, they're seeing that if a package is missing its intermediate scans, it won't show anything on tracking until ""delivered"". We ask for your patience right now if your package isn't showing intermediate scans as most of these will resolve themselves. If you still don't receive the package and it is in the 3-4 weeks out range, please email norita@zombieorpheus.com and we'll investigate further.
Gryyphyn
4 months ago
I got my link and downloaded a few minutes ago. So excited! Only... I really want to wait to get the book in hand. The PDF cover looks fantastic though!
Gryyphyn
4 months ago
My name isn't in the Backers list in the PDF. :(
Zombie OrpheusCreatorSuperbacker
4 months ago
The backers list is from the JQ 3.5 campaign that funded the original book. We weren't able to offer credit in the book for this Kickstarter, as it would have delayed delivery by another month or two.
Gryyphyn
4 months ago
Thanks for the reply guys. I still love the book and I can't wait to rewrite my old campaign with the new source material! Stay safe and keep up the great work!
Jaikula
4 months ago
Just had a quick look through the PDF and simply cant wait for the book, which I will definitely be reading through more closely.
But do have a question in regards to the Backer's listing in the appendix. The backers listed there the names of all those who backed it?
Zombie OrpheusCreatorSuperbacker
4 months ago
The appendix lists the backers from the JQ 3.5 campaign, who funded the content in the book. We were not able to offer backer credit in this campaign, as it would have delayed publication.
George Roehr
4 months ago
Question. I completed my Backer Kit for the pdf version of the book. How do we *actually* get the book? Should I have already gotten a code or link?
Thanks!
Zombie OrpheusCreatorSuperbacker
4 months ago
Those will fulfill via BackerKit soon!
George Roehr
4 months ago
Awesome! I just didn't want to have missed something.
Gryyphyn
4 months ago
I got my link this morning. w00t!
SeanSuperbacker
4 months ago
Hi, Hope you are all doing well. Are the miniatures the same as the ones for the JQ4 Kickstarter? Thanks.
Zombie OrpheusCreatorSuperbacker
4 months ago
No, we are offering the gamers miniatures and the perf running miniature as an add-on option for backers already receiving a physical reward. The JQ4 miniatures (Heroic Perf, Wren, Carrow, Nara, and Glorion) have not been produced yet and will not until the JQ4 campaign fulfills.
SeanSuperbacker
4 months ago
Thanks!
Pablo SanchoSuperbacker
4 months ago
Hi,
Any news regarding the surveys? Stay safe all of you!
Zombie OrpheusCreatorSuperbacker
4 months ago
We just sent out surveys yesterday. Thanks for your patience!
Moritz Schubert
5 months ago
Congratulation on funding successfully! Huzzah and onwaaard!
David
5 months ago
Typo-sense tingling...
Zombie OrpheusCreatorSuperbacker
5 months ago
If you found something send it over!
David
5 months ago
Congrats! I'm really looking forward to reading Matt's book! Huzzah!
David SchmitzSuperbacker
5 months ago
Glad to see this campaign has been pretty successful. Great job as always!
Rodney LearySuperbacker
5 months ago
Huge fan here, going all the way back to Dead Camper Lake and The Gamers. Anyway, I just backed at the 50.00 level as things are tight for the next couple weeks. I assume there will be a Backerkit where I can grab some add-ons and upgrade my pledge at a later date?
Moritz Schubert
5 months ago
JQ 3.5 backer here. I threw a coin in the tip jar if for no other reason than to be able to hang out with y'all here in the comments section ^.^
Joshua Fullerton
5 months ago
I know I've got a soft cover coming my way. I couldn't pass up a Deluxe one. Thanks for making great content. Please keep up the great work.
Gryyphyn
5 months ago
Of course I pledged! I got hooked when I first saw Dorkiness Rising and I love that the entire ZOE/DGE world now has a HHGTTW!
I tried to ring the Strowlers deluxe add-on but can't. Did I misread something?
Zombie OrpheusCreatorSuperbacker
5 months ago
@swordsmoose: The PDF is included at that level, so you’re all set!
swordsmoose
5 months ago
Thank you. Will I be receiving a link to it?
Zombie OrpheusCreatorSuperbacker
5 months ago
When this campaign is over and pledges are processed we'll fulfill digital rewards and get manufacturing/shipping going.
swordsmoose
5 months ago
Hi. I pledged at the $50 level. How do I go about getting the PDF version?
Miguel OrtizSuperbacker
5 months ago
I had to back it. Almost 500 pages of lore for me to use to make things. Its fun you guys are located on my state!. Theres no way i wouldnt back.
DigbyDavis LLC
5 months ago
Anyone who backed JQ3.5 at $50 or more should not back this campaign because they are already getting shipped a copy. Instead if they want to upgrade/add copies they need to take a survey to unlock their JQ3.5 pledge. Then once this campaign is over those JQ3.5 pledges will be unlocked and people will be able to upgrade and/or add copies to their original pledge. Do I understand that correctly? If not, please elaborate. Thanks!
Lambert
5 months ago
That is the information has it has been told to me. While I was a previous backer I went here just to throw something into the tip jar. I cannot not be a part of an associated crowdfunding campaign. We are the crowd :)
Showing 25 of 30 comments
Load more",53
